name,url,category,protocols
SpaceCraftX,https://spacecraftx.io/,games,wax
PolyLion,https://polylion.exchange/,defi,polygon
0xUniverse,https://0xuniverse.com/,games,"ethereum,polygon"
Polychain Monsters,https://polychainmonsters.com/,collectibles,"ethereum,binance-smart-chain"
Idle Mystic,https://www.idlemystic.io/login,games,polygon
EpicHero,https://epichero.io/chest,games,binance-smart-chain
Pancake Bunny,https://pancakebunny.finance/,defi,binance-smart-chain
CAIT,https://caittoken.io/,defi,wax
Black Eye Galaxy,https://www.blackeyegalaxy.space/,games,binance-smart-chain
Faraland,https://faraland.io/,games,binance-smart-chain
Paçoca,https://pacoca.io/,defi,binance-smart-chain
Coinpirates,https://coinpirates.io/,games,wax
MicroPETS,https://pets.micropets.io/,defi,binance-smart-chain
Ref Finance,https://app.ref.finance/,exchanges,near
Autofarm,https://autofarm.network/,defi,"binance-smart-chain,okexchain,avalanche,polygon"
TTSwap,https://ttswap.space/#/swap?utm_source=DappRadar&utm_medium=deeplink&utm_campaign=visit-website,exchanges,thundercore
Hashland,https://hashland.com/,games,binance-smart-chain
GNO City,https://www.gnocity.io/,games,wax
BunnyPark,https://www.bunnypark.com/,defi,binance-smart-chain
Dfyn Network,https://dfyn.network/,exchanges,polygon
BeGlobal.finance,https://dapp.beglobal.finance/,defi,binance-smart-chain
Dontplaywithkitty,https://dontplaywithkitty.io/,games,binance-smart-chain
Berserk: Vulcanites Unleashed,https://berserk.vulcanforged.com/,games,vulcanforged
Neo Tokyo Identities,https://opensea.io/collection/neo-tokyo-identities,collectibles,ethereum
Atrix,https://app.atrix.finance/,defi,solana
Green Rabbit Game,https://www.greenrabbitgame.io/,games,wax
ACryptoS,https://app.acryptos.com/,defi,binance-smart-chain
Nova Rally,https://play.novarally.io/,games,wax
Trade Race Manager,https://traderacemanager.com/user/referral/dappradar,games,polygon
Sunny Aggregator,https://app.sunny.ag/,defi,solana
Color Craze,https://esports.win4.fun/g/color-craze,games,thundercore
Math War,https://esports.win4.fun/g/math-race,games,thundercore
WAXTycoon,https://waxtycoon.io/,games,wax
Marinade Finance,https://marinade.finance/app,defi,solana
My Crypto Heroes,https://www.mycryptoheroes.net/,games,"ethereum,polygon"
Crypto Egg,https://cryptoegg.xyz/,high-risk,binance-smart-chain
LZ Swap,https://liquidity.lz.finance/,exchanges,binance-smart-chain
Crypto Dynasty (EOS),https://eos.cryptodynasty.one/,games,eos
NFTb,https://nftb.io/,marketplaces,binance-smart-chain
Buffer Finance,https://app.buffer.finance/,defi,binance-smart-chain
QiDao,https://app.mai.finance/,defi,polygon
Bunicorn Game,https://bunicorn.game/,games,binance-smart-chain
HEX,https://hex.com/,defi,ethereum
Larix,https://projectlarix.com/,defi,solana
KnightSwap,https://app.knightswap.financial/,exchanges,binance-smart-chain
Mysterium VPN,https://www.mysteriumvpn.com/,other,polygon
Olympus DAO,https://app.olympusdao.finance/,defi,ethereum
Brain Warp,https://esports.win4.fun/g/brain-warp,games,thundercore
Gswap by Gravis Finance,https://gravis.finance/,exchanges,"binance-smart-chain,polygon,other"
Alpaca Finance,https://app.alpacafinance.org/,defi,binance-smart-chain
MaticVerse,https://game.maticverse.io/,games,binance-smart-chain
Sorbet Finance by Gelato,https://www.sorbet.finance/,defi,polygon
Ellipsis Finance,https://ellipsis.finance/,defi,binance-smart-chain
Curve,https://beta.curve.fi/,defi,"ethereum,avalanche,polygon"
Jetswap,https://jetswap.finance/,exchanges,"binance-smart-chain,polygon"
Devikins,https://devikins.com/,games,tron
PixelPotus,https://www.pixelpotus.com/,collectibles,tezos
LEONICORN SWAP,https://dex.leonicornswap.com/home,defi,binance-smart-chain
Lydia Finance,https://www.lydia.finance/,defi,avalanche
ComethSwap,https://swap.cometh.io/,exchanges,polygon
Decentral Games,https://decentral.games/d603bb,gambling,polygon
